Academic Body;Title
Gosia (Małgorzata) Marczewska;"Co-founder of PLAN ZERO; NFI 2024 alumni"
Diego López Urruchi;Associate Director, Architecture and Technology Unit, Norman Foster Foundation (NFF), Madrid, Spain
Carolina Yacamán Ochoa;Associate Professor, Department of Geography, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Amin Taha;"Director, Groupwork; Tutor, ADS5 Architecture MA, School of Architecture, Royal College of Art, London, United Kingdom"
Juan Carlos Calanchini González Cos;"Academic Coordinator; Lead Researcher, Norman Foster Institute (NFI)"
Olivia Poston;Lead Researcher, Norman Foster Institute (NFI)
Daniel Liang Xu;Lead Researcher, Norman Foster Institute (NFI)
Claudia Chwalisz;Founder and Chief Executive Officer, DemocracyNext, Marsella, Provenza-Alpes-Costa Azul, Francia 
Júlia López Ventura;C40 Regional Director for Europe, Madrid, Spain
Francis Diebedo Kéré;Founder, Kéré Architecture and Kéré Foundation, Berlin, Germany
Francesco Sindico;Professor of International Environmental Law at the University of Strathclyde Law School, Glasgow, Scotland - UK on secondment with the Scottish Government as Carbon Neutral Islands project lead
Sergio Tirado Herrero;Senior Research Fellow, Department of Geography, Universidad Autónoma de Madrid (UAM), Madrid, Spain
José Manuel Calvo;"Ph.D Architect and Urban planner.
Adjunt Professor at the IE University - School of Architecture and Design."
Carmen Navarro Gómez;Associate Professor, Department of Political Science, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Susana Saiz;PhD in Architecture, Director at Ove Arup & Partners. WELL AP & Faculty, LEED AP, ILFI Accredited
Gregorio Maya;City Science Coordinator, Norman Foster Institute (NFI), Madrid, Spain
Paloma Díaz Pena;Lead Architect, Norman Foster Institute (NFI-NFF)
Sheila Foster;Visiting Professor, Columbia University, Climate School. Scott K. Ginsburg Professor of Urban Law and Policy, Georgetown University (Law and Public Policy schools)
José María Michavila;Former Minister of Justice of Spain, Madrid, Spain
Antoine Picon;"G. Ware Travelstead Professor of the History of Architecture and Technology,
Director of Doctoral Programs, Harvard Graduate School of Design"
Beatriz Colomina;Howard Crosby Butler Professor of the History of Architecture and Director of Graduate Studies (Ph.D. program), School of Architecture, Princeton University
Beatriz Gandarillas Gutiérrez;Professor of Psychology, School of Psychology, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Carmen Hidalgo Giralt;"NFI Programme on Sustainable Cities Co-Director; Associate Professor of Human Geography, School of Philosophy and Arts, Universidad Autónoma de Madrid (UAM), Madrid, Spain"
Diego Antonio Barrado Timón;"NFI Programme on Sustainable Cities Co-Director;
Senior Lecturer of Human Geography, Department of Philosophy and Arts,
Universidad Autónoma de Madrid (UAM), Madrid, Spain"
Kent Larson;"Co-Director, Norman Foster Institute; Madrid, Spain; Director, City Science Research Group, MIT Media Lab, Cambridge, United States"
Irene Martín Luque;Head of Research, Norman Foster Institute (NFI)
Gareth Simons;"Head of City Science, Norman Foster Institute (NFI); Senior Research Fellow in Building Stock and Energy Modelling (Energy Institute) and Research Fellow in Evidence Based Urban Design and Planning (Space Syntax), Bartlett, University College London (UCL), UK"
Juan Ignacio Sánchez Gutiérrez;Associate Professor, Department of Economic Structure and Development Economics, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Glyn Richards;Group Sustainability Director, Bupa, London, United Kingdom
Yvonne Aki-Sawyerr;Mayor of Freetown, Sierra Leone
Gemma Durán Romero;Professor, School of Economics and Business Studies, Universidad Autónoma de Madrid (UAM), Madrid, Spain
Norman Foster;"Co-Director Norman Foster Institute (NFI); President, Norman Foster Foundation (NFF), Madrid, Spain"
Elena Tudela Rivadeneyra;"Co-Founder, Oficina de Resiliencia Urbana (ORU); Associate Professor, Urban Environmental Area, School of Architecture, Universidad Nacional Autónoma de México (UNAM), Mexico City, Mexico"
Caitlin Burton;Senior Vice President, Partnerships at Zipline International, Paris, France
Cristina Garrido;"CEO, Anteverti; Curator Smart City Expo World Congress-Events Abroad; Director CitiesToBe, Barcelona, Spain"
David Calas;Director, Studio Calas, Vienna, Austria
